YOUR SKU	MANUF.SKU	PRODUCT	PRICE	INVENTORY	NEXT SHIPMENT	EAN	MANUFACTURER	WEIGHT
150065	WFBKTR3	Wahoo KICKR SNAP	2407,44	168	0	8,53988E+11	Wahoo Fitness Accessories	22
150030	WFKICKRCAM	Wahoo KICKR Campagnolo free hub  Pre-2017*	335,44	0	0	8,57335E+11	Wahoo Fitness Accessories	0,5
150031	WFKICKR142	Wahoo KICKR 142x12mm Mountain Bike Adapter Kit	139,44	29	0	8,57335E+11	Wahoo Fitness Accessories	0,14
150027	WFKICKRMAT	Wahoo KICKR Mat	335,44	470	0	8,57335E+11	Wahoo Fitness Accessories	2,1
150215	WFBKTR120	Wahoo KICKR (v.5)	5399,4	52	0	8,5001E+11	Wahoo Fitness Hardware	25
720118	WPACE2-NVY-N	Coros Pace 2 Dark Navy with Nylon Band	895,44	0	0	8,10006E+11	Coros	0,38
720119	WPACE2-NVY	Coros Pace 2 Dark Navy with Silicone band	895,44	0	0	8,10006E+11	Coros	0,38
720120	WPACE2-WHT-N	Coros Pace 2 White with Nylon band	895,44	0	0	8,10006E+11	Coros	0,38
720121	WPACE2-WHT	Coros Pace 2 White with Silicone Band	895,44	181	0	8,10006E+11	Coros	0,38
840000	Z601	ZEN Z-Roller Lite	1287,44	2	0	7,09004E+12		9
840001	Z803	ZEN Z-Roller Pro	2071,44	1	0	7,09004E+12		13
700033	54020 001-00	Hyperice Hypervolt Plus BT	2127,44	711	0	8,52152E+11	Hyperice	3,5
700065	60000 001-04	Hyperice Normatec 2.0 Leg Rec. System Tall Size Black	7039,36	0	0	8,52152E+11	Hyperice	4,5
700067	60030 001-03	Hyperice Normatec PRO 2.0 Leg Recovery System*	10879,36	2	0	8,1005E+11	Hyperice	4,5
700071	82002-001-00	Hyperice Normatec PULSE Series Power Supply	255,36	0	0	8,1005E+11	Hyperice	0,09
150256	WFPRCLTAC	Wahoo SPEEDPLAY: Cleat Cover	128,24	39	0	8,5001E+11		0,05
450011	450011	Re:claim Baby Softener*	31,6	0	0	7,35E+12	re:CLAIM	0,543
150032	WFBTSC02	Wahoo BLUESC Speed/Cadence BT 4.0 / ANT+	279,44	43	0	8,57335E+11	Wahoo Fitness Hardware	0,12
150233	WFCC5B	Wahoo ELEMNT BOLT Bundle V2 GPS Cycling Computer	1619,4	0	0	8,5001E+11		0,4
150233	WFCC5B	Wahoo ELEMNT BOLT Bundle V2 GPS Cycling Computer	1619,4	0	0	8,5001E+11		0,4
150232	WFCC5	Wahoo ELEMNT BOLT V2 GPS Cycling Computer	1319,4	0	0	8,5001E+11		0,4
150232	WFCC5	Wahoo ELEMNT BOLT V2 GPS Cycling Computer	1319,4	0	0	8,5001E+11		0,4
450003	450003	Re:claim Spray	31,6	2475	0	7,35E+12	re:CLAIM	0,32
450002	450002	Re:claim Softener	31,6	1668	0	7,35E+12	re:CLAIM	0,543
450004	450004	Re:claim Travel Pack	31,6	1256	0	7,35E+12	re:CLAIM	0,21
150222	WFWSTRP01	Wahoo ELEMNT RIVAL Watchband (Stealth Gray)	153,384	30	0	8,5001E+11		0
150223	WFWSTRP02	Wahoo ELEMNT RIVAL Watchband (Kona White)	153,384	35	0	8,5001E+11		0
720126	Wpace2-wb-blk-n	Coros ACC Pace 2 Nylon Band - Black Works w/apex 42mm	139,44	0	0	8,10006E+11		0,05
780012	AC306-25	The Skin Agent ACTIVE Anti friction balm 25 ml	61,88	559	0	7,35001E+12		0,053
780013	AC307-25	The Skin Agent ACTIVE Anti friction balm 75 ml	93,08	251	0	7,35001E+12		0,134
770071	A001152	BLACKROLL SUPER BAND, Green - medium	103	6	0	4,26035E+12	Blackroll	0,22
150224	WFWCHRG01	Wahoo ELEMNT RIVAL USB Charger	122,584	30	0	8,5001E+11		0
770087	A000582	BLACKROLL® OFFICE BOX black	247	9	0	4,26035E+12	Blackroll	0,743
770088	A001216	BLACKROLL® YOGA BAG black*	119	2	0	4,26035E+12	Blackroll	0,23
770089	A001212	BLACKROLL® YOGA BELT black*	67	11	0	4,26035E+12	Blackroll	0,174
770093	A002446	BLACKROLL® TMX® MIXED SET black	218	5	0	4,26035E+12	Blackroll	0,177
770094	A002239	BLACKROLL® BLOCK SET YOGA black, pink*	171	0	0	4,26035E+12	Blackroll	0,33
770095	A002507	BLACKROLL® BOOSTER HEAD BOX	987	0	0	4,26035E+12	Blackroll	1,934
770096	A000734	BLACKROLL® MICRO pink - boxed	25	8	0	4,26035E+12	Blackroll	0,13
700034	55000 006-00	Hyperice Hypervolt GO	979,44	2330	0	8,1005E+11		1,9
770082	A002504	BLACKROLL® BOOSTER SET STANDARD black	909	3	0	4,26035E+12	Blackroll	1,566
770083	A000731	BLACKROLL® MICRO azure	27	6	0	4,26035E+12	Blackroll	0,13
770084	A000730	BLACKROLL® MICRO black	27	7	0	4,26035E+12	Blackroll	0,13
